z (m),p (Pa),U (m/s),T (K),H,H2,O,O2,H2O,OH,H2O2,HO2,AR,N2
0.020437499999999997,101325.0,2.2863070689560425,300.0003730407996,5.3701397343609334e-17,0.028509387814806348,3.77350876637096e-12,0.22627670807600367,3.8887452404463567e-10,7.140960694042561e-14,7.789662524729313e-12,4.900662418828039e-11,-7.034254688275954e-19,0.7452139036596742
0.020531249999999997,101325.0,2.2862788359671335,300.0017892446343,9.85287586950927e-16,0.028507619367107235,1.9072171083347576e-11,0.22627717932699673,2.5794350579897624e-09,1.3705743034898725e-12,5.616074472830045e-11,3.47740127863533e-10,-1.840129171606118e-17,0.7452151983021162
0.020624999999999998,101325.0,2.2861970367309414,300.01016185954956,1.635257668273367e-14,0.02850102097914981,1.1454637047603555e-10,0.22627893114237624,2.0873664683397545e-08,2.3007876329122776e-11,4.973825060713262e-10,3.0137658216633357e-09,5.930273325244616e-17,0.7452200233560908
0.020671875,101325.0,2.286124584112029,300.02977104097243,1.1654415305024542e-13,0.02849096514798949,3.49895791416982e-10,0.22628157974270838,8.038574252417805e-08,1.6266835960695149e-10,2.061606021665926e-09,1.2143682634663191e-08,-4.104714447016847e-18,0.7452273600055903
0.020718749999999998,101325.0,2.28611637817083,300.09754748221343,7.737622247026801e-13,0.028467187051503202,1.201093301660167e-09,0.22628774725751868,3.5824780747191536e-07,1.0792098428880204e-09,9.97517797929409e-09,5.681886401598861e-08,1.8545020764508582e-17,0.7452446383680518
0.020765624999999996,101325.0,2.2866611114005724,300.33182011042084,5.158292752482182e-12,0.02841100308550894,4.280419002194741e-09,0.22630185961855961,1.6536202195135996e-06,7.128986585545853e-09,4.99752957199646e-08,2.7312617651191057e-07,1.131394172316414e-16,0.7452851491596766
0.020789062499999997,101325.0,2.2879431880696104,300.66470450615054,1.7118568317667397e-11,0.028354262072631888,8.856713098885285e-09,0.22631528161927436,4.074766676590781e-06,2.2919883795859176e-08,1.3059532262833154e-07,6.872599802519964e-07,9.340567805994132e-17,0.7453255318923995
0.020812499999999998,101325.0,2.2914822963231494,301.40606874621636,5.8064808601355065e-11,0.02825911435019917,1.9466252474099995e-08,0.22633564055186584,1.0906729185332211e-05,7.430978844203643e-08,3.735118134046831e-07,1.8893577703316312e-06,6.680671019374167e-17,0.7453919816650575
0.020824218749999998,101325.0,2.2953074194400043,302.117347790731,1.2262590156524343e-10,0.028187522723351576,3.01117687069709e-08,0.22634861832315098,1.8969507437803264e-05,1.4417320683914666e-07,6.766517930382979e-07,3.342789820512531e-06,4.892451873757095e-16,0.7454406955968532
0.0208359375,101325.0,2.3018998278673983,303.26328027616626,2.7867511104355213e-10,0.02809203518303449,4.795674776513213e-08,0.22636212319293703,3.431416222097007e-05,2.854566681293826e-07,1.2801156173806865e-06,6.181948412669605e-06,-7.737003863611778e-16,0.7455037317056671
0.02084765625,101325.0,2.3130714614380743,305.1064796288434,7.27928989343096e-10,0.027965025232824684,7.820472159650728e-08,0.22637267963335747,6.34074526262489e-05,5.743683830750883e-07,2.4723537354437185e-06,1.1714982681670022e-05,1.9401686976661522e-15,0.7455840470437468
0.020853515625,101325.0,2.3214743747431346,306.4463823835924,1.376695614296439e-09,0.027885989351159147,1.0164824120254508e-07,0.22637386657609415,8.764122601424203e-05,8.378198359711691e-07,3.4941562797942855e-06,1.6434053363741e-05,2.443606144407627e-15,0.7456316337923697
0.020859375,101325.0,2.332636154873275,308.1892249797148,2.719117538421554e-09,0.02779425846844583,1.3380883299238934e-07,0.22636914610814018,0.00012254345332534446,1.238785339203601e-06,4.9965180353275636e-06,2.3355350765631634e-05,-1.1076334979895765e-15,0.7456843247879591
0.020865234375,101325.0,2.3473932443145675,310.45209179721985,5.651372110425715e-09,0.027688021784927606,1.784413583551061e-07,0.22635482239644764,0.00017263914178226904,1.8566638575898462e-06,7.188366510063262e-06,3.3440617169335486e-05,2.1058291332749283e-15,0.7457418469365711
0.02087109375,101325.0,2.366806143437756,313.38290647050604,1.2222862854452182e-08,0.02756531519333145,2.4134557220244856e-07,0.22632553236938524,0.0002442228903876487,2.8250988336013766e-06,1.035221193903638e-05,4.798670281121757e-05,3.556421292289677e-15,0.745803511964808
0.0208740234375,101325.0,2.378764945994662,315.1690111515476,1.8622762372129044e-08,0.02749696361067425,2.831484978506893e-07,0.2263024115813329,0.0002913614796928954,3.5281284376126855e-06,1.2437633172512201e-05,5.7556182670708145e-05,6.627455732766404e-15,0.7458354396126762
0.020876953125,101325.0,2.3925446835553585,317.2130520917567,2.8282535766757987e-08,0.027423516860847763,3.341449372571995e-07,0.22627158196810881,0.00034834639184919906,4.435425349635253e-06,1.4957935105994234e-05,6.90797642843903e-05,1.0936903379901034e-14,0.7458677192273186
0.0208798828125,101325.0,2.4083910059392344,319.5489996924182,4.289489074370976e-08,0.027344691267522713,3.967209502450162e-07,0.22623133075263122,0.00041707721835472023,5.6125418972425215e-06,1.7987450746762376e-05,8.28459018285119e-05,-2.1698664843142295e-15,0.7459000152510157
0.0208828125,101325.0,2.426573683685894,322.2141498215799,6.495206381300834e-08,0.027260207416839044,4.7397730495278197e-07,0.2261796730645288,0.0004997586089929336,7.147828972162351e-06,2.160665936638577e-05,9.91352527277564e-05,3.720351775653672e-15,0.745931932239397
0.0208857421875,101325.0,2.447385885543382,325.2490370977702,9.808971614550126e-08,0.027169794734506657,5.699481810042244e-07,0.226114342305993,0.0005989253882403404,9.160095749391724e-06,2.5900277180705332e-05,0.00011819257803530935,-4.481858328874165e-15,0.7459630165823279
0.020888671875,101325.0,2.4711421590002423,328.69717431207533,1.4754870321620286e-07,0.027073196617437165,6.898745127412882e-07,0.22603279230258957,0.000717459879440495,1.1808170297477037e-05,3.095457820136193e-05,0.00014018856814815485,-3.064246460805655e-15,0.74599276246043
0.0208916015625,101325.0,2.4981747248407427,332.6045650572293,2.207798767572185e-07,0.02697017597827349,8.405347527100869e-07,0.22593221433884483,0.0008585967878165998,1.530222784091972e-05,3.685412389610999e-05,0.00016517223339584358,5.8320695541023325e-15,0.7460206229960085
0.02089306640625,101325.0,2.513055108193929,334.74915137585504,2.7026701604043426e-07,0.026916160825894365,9.30707549064743e-07,0.2258736158935241,0.0009390322862124557,1.747070287711139e-05,4.0152187031076334e-05,0.0001787425587472828,-3.963470480144964e-15,0.7460336245710226
0.02089453125,101325.0,2.5289201556159697,337.0313604626682,3.3010261181476763e-07,0.026860435143825,1.0324607561735206e-06,0.22580875853310448,0.0010268545649765681,1.9972669908207687e-05,4.370477553481756e-05,0.0001930277353632447,2.6579246301025775e-15,0.7460458840142289
0.02089599609375,101325.0,2.545816854424811,339.45770602477086,4.022768121600856e-07,0.026802977603622755,1.147337513037501e-06,0.22573718399593737,0.001122612194483935,2.2857016212320066e-05,4.752242571700895e-05,0.00020797239874838558,8.699217029000539e-16,0.7460573247510508
0.0208974609375,101325.0,2.563791815741932,342.03465896124953,4.891033382698093e-07,0.026743769393813652,1.2770689888970068e-06,0.22565842266770214,0.0012268725874625846,2.617845021322453e-05,5.161513058640984e-05,0.00022350304535845083,3.2872291279419595e-15,0.7460678725536822
0.02089892578125,101325.0,2.582890836871342,344.76858847747343,5.932590042322783e-07,0.026682794374312424,1.4235889255032282e-06,0.22557199581457857,0.0013402189984243055,2.999768861465587e-05,5.599232261700839e-05,0.00023952722973066338,-1.556606450954468e-14,0.7460774567227935
0.020900390625,101325.0,2.6031584216851567,347.6656974389616,7.178247083090087e-07,0.02662003920923374,1.5890471508498522e-06,0.2254774179278339,0.0014632469393562827,3.438148450641939e-05,6.0662889585169427e-05,0.0002559333601536695,7.593366132936333e-15,0.746086011318872
0.02090185546875,101325.0,2.6246372641625815,350.73195266916616,8.66327129610453e-07,0.026555493471921907,1.7758212291448946e-06,0.22537419911857992,0.0015965600328660286,3.940244789276231e-05,6.563522149183014e-05,0.00027259120948779547,-1.5767414949620033e-14,0.7460934763482987
0.0209033203125,101325.0,2.6473677031331224,353.97301122017024,1.0427801959496457e-06,0.026489149721634478,1.9865259833466604e-06,0.22526184755264728,0.0017407653529627207,4.513860900467263e-05,7.091728346228877e-05,0.00028935323367528047,9.15347078520885e-15,0.7460997989409325
0.02090478515625,101325.0,2.6713871581476973,357.39414398590094,1.2517251171302872e-06,0.0264210035453175,2.224019716151338e-06,0.22513987187613088,0.0018964683328514004,5.167267563623311e-05,7.651670269353241e-05,0.000306056748741536,4.2718597893946794e-15,0.746104934373761
0.020906249999999998,101325.0,2.696729559588247,361.0001583641953,1.4982676369145534e-06,0.026351053566019567,2.491407048432602e-06,0.22500778366186028,0.0020642673516086275,5.9090943436897885e-05,8.244085484500823e-05,0.00032252696579689933,9.525890747756109e-15,0.74610884698277
0.020907714843749994,101325.0,2.7234247877593236,364.7953219791404,1.7881109011910713e-06,0.026279301414437812,2.792037369628166e-06,0.2248650998805913,0.0022447481387749112,6.748182920722067e-05,8.86969289210426e-05,0.0003385808166329735,-5.5685704104411235e-15,0.7461115108425197
0.020909179687499994,101325.0,2.751498137986962,368.7832897195563,2.127582235720991e-06,0.026205751666376273,3.12949883021864e-06,0.22471134546592328,0.002438478160361822,7.69340165333036e-05,9.529194854935356e-05,0.00035403143279202546,1.0579005409475862e-14,0.746112910229326
0.020910644531249994,101325.0,2.780969829427768,372.96703650197156,2.523651984493204e-06,0.026130411746172085,3.507607392012156e-06,0.22454605602808084,0.002646001163634787,8.753422710828451e-05,0.00010223272557712018,0.0003686930679542516,-2.2917092558981044e-15,0.7461130397818151
0.020912109374999995,101325.0,2.8118545759541593,377.34879820047854,2.9839425662086407e-06,0.02605329180196781,3.930391302832911e-06,0.2243687808204939,0.0028678320627962867,9.936466193687239e-05,0.0001095257251524919,0.00038238619010429203,6.8985978696405375e-15,0.7461119044041177
0.020915039062499995,101325.0,2.8778536522923766,386.7061941351183,4.120641111632127e-06,0.025893813592471206,4.921737139686909e-06,0.22397726037156715,0.0033554583948185155,0.00012691625296002289,0.0001251770642444047,0.0004063705200403796,-1.3224447279123118e-14,0.7461059614257048
0.020917968749999995,101325.0,2.9493403688025523,396.83690380745446,5.616555485627585e-06,0.025727474245684466,6.136525700621272e-06,0.22353544158743896,0.0039027783854611105,0.0001599682876503986,0.0001422168995314535,0.00042504970904387037,-2.2453761985431234e-14,0.7460953178039357
0.020920898437499995,101325.0,3.0262027375408054,407.7279095506987,7.55271679835093e-06,0.025554418753838452,7.610169941020574e-06,0.2230409621156499,0.0045120697425889865,0.00019871016645312182,0.00016063431234768842,0.000437833916145131,-2.848908585068562e-14,0.7460802081051867
0.020923828124999995,101325.0,3.108235799692102,419.353569518454,1.0017123041479614e-05,0.02537481649476036,9.378697106792658e-06,0.22249205257880023,0.005184905926801171,0.0002430012156509621,0.00018036656079327174,0.00044455539744978675,-3.972643576374094e-16,0.7460609060054564
0.020926757812499995,101325.0,3.195150673997698,431.6767834297212,1.3102000699893827e-05,0.02518885637850374,1.1478169244398817e-05,0.22188765891609755,0.005922160410679575,0.0002923306407343097,0.0002012799493320769,0.0004454511495566893,-4.932876364392028e-17,0.7460376823850966
0.020929687499999995,101325.0,3.2865881923522986,444.650781632659,1.6900473005028477e-05,0.02499674285596966,1.3944621255300919e-05,0.22122753375402404,0.006724040652589432,0.0003458236441403823,0.00022315646877935167,0.0004410871293483054,-2.5850299500929516e-15,0.7460107704007204
0.020932617187499995,101325.0,3.382135338593985,458.22130082360735,2.150295196003808e-05,0.02479869278680211,1.6814724412244077e-05,0.22051227266939982,0.007590139411736394,0.0004022958017479945,0.0002456905893828735,0.0004322488576697155,-1.6123457545195354e-15,0.745980342206462
0.020935546874999995,101325.0,3.4813426780637005,472.3289045996202,2.6993622634254465e-05,0.024594932922924723,2.01272870718863e-05,0.219743281084064,0.008519494583160415,0.0004603471256990752,0.0002684982449158176,0.00041982636333623094,7.81318647327503e-15,0.7459464987661858
0.020938476562499996,101325.0,3.5837412714799592,486.9112467361563,3.3447370371531215e-05,0.024385697650607677,2.3925574448052022e-05,0.21892267198778667,0.009510654112959585,0.0005184794475483058,0.000291137118747338,0.0004047154453233226,5.092660245378549e-15,0.7459092712923331
0.020941406249999996,101325.0,3.6888580174550683,501.9051344049762,4.0927423855534515e-05,0.024171226657795045,2.8260296168745806e-05,0.218053108164288,0.010561746804002216,0.0005752179030806326,0.00031313486055811984,0.00038774676949069806,-2.0958421369359303e-15,0.7458686311207007
0.020944335937499996,101325.0,3.796228802462897,517.2483060323332,4.9483873014205625e-05,0.023951762312564552,3.319300228361279e-05,0.2171376109174761,0.011670561327781494,0.0006292193120607289,0.0003340205296548107,0.0003696443678694717,-4.472669067007517e-15,0.7458245043574078
0.020947265624999996,101325.0,3.9054091756242397,532.8808834750229,5.9153098421889265e-05,0.023727546696209134,3.8799565663457256e-05,0.2161793592077851,0.012834634640006714,0.0006793554753870012,0.0003533545513855124,0.00035100864687346293,-1.2257516205799095e-14,0.7457767881185771
